segment-clé (EN)	segment-clé (FR)	Classe pharmacologique	Classe thérapeutique	DCI (spécialités)	Classe pharmaco-thérapeutique
-prostil	-prostil	dérivés des prostaglandines	antiulcéreux	Déprostil	Prostaglandines à visée anti-ulcéreuse
-quidar	-quidar	dérivés de la quinoline	produits contre la résistance multi-médicaments		
-quin(e)	-quine	dérivés des amino-4-quinoléines (supprimé des principes généraux de la liste 28 prop. INN)	antipaludiques, antibactériens, anthelminthiques	Chloroquine (Nivaquine – Savarine), Clioquinol (Diprosept – Locacortène Vioforme), Fluméquine (Apurone), Hydroxychloroquine (Plaquenil), Méfloquine (Lariam), Tilbroquinol (Intétrix)	Dérivés de la quinoléine, à activité très variée, plus spécialement antipaludique, antibactérienne et anthelminthique
-quinil	-quinil	agonistes des récepteurs de la benzodiazépine, dérivés de la quinoléine			
-racetam	-racétam	dérivés du piracetam	psychostimulants, antiépileptiques	Piracétam (Nootropyl)	Amides psychostimulantes
-racil	-racil	agents de type uracyl	antinéoplasiques		
-rafenib	-rafenib	inhibiteurs de la protéine RAF (rapidly accelerated fibrosarcoma)	anticancéreux		
-relin	-réline	analogues des Gn-RH	stérilité, infécondité, endométriose	Buséréline, Goséréline (Zoladex), Triptoréline (Décapeptyl)	peptides provoquant la libération d'hormones hypophysaires, en particulier de la GnRH
-morelin	-moréline	analogues des Gn-RH	stérilité, infécondité, endométriose	Sermoréline	peptides stimulant la libération de l'hormone de croissance
-tirelin	-tiréline	analogues des Gn-RH	stérilité, infécondité, endométriose	Protiréline	analogues de l'hormone provoquant la libération de l'hormone thyréotrope
-relix	-relix	inhibteurs des Gn-RH			
-renone	-rénone	antagonistes de l’aldostérone, dérivés de la spironolactone	insuffisance cardiaque, œstroprogestatifs	Canrénone	Stéroïdes antagonistes de l'aldostérone, dérivés de la spironolactone
-restat	-restat	inhibiteurs de l’aldose réductase			
-retin-	-rétin-	dérivés du rétinol (Vitamine A)	antiacnéiques	Acitrétine, Etrétinate (Tigason), Isotrétinoïne (Isotrex – Roaccutane)	Dérivés de la vitamine A (rétinol)
-ribine	-ribine	dérivés du ribofuranyl de type pyrazofurine			
rifa-	rifa-	dérivés de la rifamycine	antibiotiques	Rifabutine (Lycobutin), Rifampicine (Rifacine – Rifadine – Rifinah – Rimactazide – Riniazide), Rifamycine (Rifocine – Rifoderm)	Antibiotiques du groupe des ansamycines, dérivés de la rifamycine
-rinone	-rinone	dérivés de l’amrinone	stimulants cardiaque	Amrinone	Tonicardiaques inhibiteurs de la phosphodiestérase
-rizine	-rizine	dérivés de la cyclizin	antihistaminiques, vasodilatateurs cérébraux	Cinnarizine (Sureptil)	Antihistaminiques H1, dérivés de la cyclizine, vasodilatateurs
-rolimus	-rolimus	dérivés de la rapamycine	antibiotiques		
-rozole	-rozole	inhibiteurs de l’aromatase imidazolés triazolés	anticancéreux	Anastrozole (Arimidex)	Dérivés de l'imidazole ou triazole, inhibiteurs de l'aromatase (estrogène synthétase)
-rsen	-rsen	oligonucléotides antisens			
-rubicin	-rubicine	anthracyclines inhibiteurs des topo-isomérases II, dérivés de la daunorubicine	anticancéreux, antinéoplasiques	Daunorubicine (Cérubidine), Epirubicine (Farmorubicine), Idarubicine (Zavédos)	Antinéoplasiques antibiotiques (anthracyclines)
-sal-	-sal-	dérivés de l’acide salicylique	antalgiques, anti-inflammatoires	Carbasalate Calcique, Diflunisal, Salicylamide (Percutalgine – Rinomicine)	Dérivés de l'acide salicylique à activité antalgique, et/ou anti-inflammatoire
salazo-/-salazo-/-salazine/-salazide	salazo-/-salazo-/-salazine/-salazide	dérivés de l’acide phénylazosalicylique	anti-inflammatoires	Mésalazine (Pentasa), Olsalazine (Dipentum)	Dérivés de l'acide 5-Aminosalicylique à activité anti-inflammatoire
salazo-/-salazo-/-salazine/-salazide	salazo-/-salazo-/-salazine/-salazide	dérivés de l’acide phénylazosalicylique	anti-inflammatoires	Sulfasalazine (Salazopyrine)	Dérivés de l'acide 5-Aminosalicylique à activité anti-inflammatoire et anti-infectieuse
-salan	-salan	dérivés bromés du salicylamide	désinfectants	Tiosalan	Dérivés bromés du salicylamide, à propriétés désinfectantes
